timestamp,open,high,low,close,volume
2024-10-27 00:00:00,67156.0,67272.0,67143.41,67151.6,19.1023
2024-10-27 00:05:00,67151.6,67258.7,67151.5,67176.99,14.2205
2024-10-27 00:10:00,67178.69,67268.3,67134.0,67141.34,10.0374
2024-10-27 00:15:00,67141.34,67249.9,67120.23,67134.0,4.6069
2024-10-27 00:20:00,67148.67,67249.7,67135.2,67149.31,9.3948
2024-10-27 00:25:00,67140.6,67219.0,67140.6,67145.8,10.4205
2024-10-27 00:30:00,67143.28,67225.5,67112.63,67120.6,5.6003
2024-10-27 00:35:00,67120.61,67218.4,67050.33,67067.47,5.36
2024-10-27 00:40:00,67065.71,67155.9,67050.43,67056.49,2.0893
2024-10-27 00:45:00,67054.9,67175.1,67021.79,67075.77,4.0898
2024-10-27 00:50:00,67075.78,67174.2,67051.9,67091.15,3.6183
2024-10-27 00:55:00,67089.32,67174.2,67055.47,67061.46,3.0623
2024-10-27 01:00:00,67059.8,67174.2,67048.0,67076.76,11.2009
2024-10-27 01:05:00,67076.75,67184.8,67061.0,67089.62,3.1351
2024-10-27 01:10:00,67089.62,67188.5,67048.2,67108.66,3.1721
2024-10-27 01:15:00,67108.67,67207.5,67084.8,67115.01,11.9021
2024-10-27 01:20:00,67115.0,67191.6,67073.0,67085.39,16.2766
2024-10-27 01:25:00,67085.39,67169.0,67071.1,67084.9,4.0537
2024-10-27 01:30:00,67104.63,67188.4,67083.0,67100.35,2.834
2024-10-27 01:35:00,67100.35,67211.4,67060.0,67121.34,3.1656
2024-10-27 01:40:00,67109.0,67214.2,67084.8,67121.88,1.8504
2024-10-27 01:45:00,67121.88,67209.9,67084.8,67102.79,1.9883
2024-10-27 01:50:00,67102.8,67188.0,67080.88,67099.04,4.2277
2024-10-27 01:55:00,67095.59,67188.0,67080.02,67095.66,5.124
2024-10-27 02:00:00,67186.6,67188.0,67063.07,67071.15,11.7208
2024-10-27 02:05:00,67071.15,67163.9,67060.42,67067.94,1.4232
2024-10-27 02:10:00,67069.03,67163.1,67045.68,67060.0,6.5369
2024-10-27 02:15:00,67062.29,67159.2,67030.11,67054.06,1.4941
2024-10-27 02:20:00,67054.06,67151.3,67038.87,67059.67,2.153
2024-10-27 02:25:00,67059.67,67127.0,67048.4,67053.0,1.7214
2024-10-27 02:30:00,67048.4,67148.0,67036.61,67125.0,4.7401
2024-10-27 02:35:00,67044.54,67126.0,67031.48,67040.29,1.7949
2024-10-27 02:40:00,67040.28,67137.3,67034.6,67047.86,2.8963
2024-10-27 02:45:00,67045.03,67137.3,67035.08,67043.11,1.7908
2024-10-27 02:50:00,67043.47,67159.1,67040.8,67061.35,1.3113
2024-10-27 02:55:00,67061.36,67184.9,67061.35,67096.33,1.9772
2024-10-27 03:00:00,67064.8,67188.5,67064.8,67089.81,1.5703
2024-10-27 03:05:00,67097.1,67190.1,67081.91,67099.0,10.1582
2024-10-27 03:10:00,67094.11,67191.0,67086.9,67129.0,4.8338
2024-10-27 03:15:00,67128.53,67192.0,67093.9,67122.22,5.3528
2024-10-27 03:20:00,67122.22,67192.0,67093.9,67106.18,7.0422
2024-10-27 03:25:00,67109.09,67198.7,67088.44,67103.58,5.523
2024-10-27 03:30:00,67103.58,67199.6,67089.12,67097.48,6.9678
2024-10-27 03:35:00,67097.48,67190.0,67093.9,67097.57,4.8938
2024-10-27 03:40:00,67097.56,67190.0,67093.9,67107.0,3.8905
2024-10-27 03:45:00,67189.9,67189.9,67104.49,67119.02,0.9582
2024-10-27 03:50:00,67119.01,67222.5,67107.0,67134.75,2.3122
2024-10-27 03:55:00,67134.74,67222.6,67105.88,67112.0,5.0909
2024-10-27 04:00:00,67111.9,67209.0,67111.8,67162.99,5.3802
2024-10-27 04:05:00,67162.99,67249.3,67124.0,67135.0,5.6112
2024-10-27 04:10:00,67135.2,67251.9,67131.0,67151.72,5.6398
2024-10-27 04:15:00,67156.07,67249.3,67141.35,67143.03,6.5314
2024-10-27 04:20:00,67143.02,67233.1,67124.88,67142.57,4.1636
2024-10-27 04:25:00,67236.7,67236.7,67113.0,67119.17,1.3221
2024-10-27 04:30:00,67213.9,67213.9,67114.0,67126.72,1.8585
2024-10-27 04:35:00,67126.71,67203.9,67077.04,67082.4,9.5428
2024-10-27 04:40:00,67082.4,67186.0,67074.0,67082.0,8.9781
2024-10-27 04:45:00,67081.92,67201.4,67079.0,67107.0,10.803
2024-10-27 04:50:00,67107.43,67209.5,67093.9,67115.0,3.5277
2024-10-27 04:55:00,67115.24,67228.1,67096.9,67129.98,4.1168
2024-10-27 05:00:00,67127.7,67205.1,67076.39,67082.83,5.3707
2024-10-27 05:05:00,67082.82,67186.0,67068.95,67077.0,3.5917
2024-10-27 05:10:00,67089.45,67186.0,67047.0,67093.9,2.7987
2024-10-27 05:15:00,67093.9,67147.0,67047.08,67094.0,2.6558
2024-10-27 05:20:00,67081.28,67172.8,67056.35,67065.22,1.4539
2024-10-27 05:25:00,67065.23,67157.9,67060.61,67062.89,4.1164
2024-10-27 05:30:00,67078.4,67137.3,67019.0,67052.8,5.5066
2024-10-27 05:35:00,67052.81,67137.4,67018.0,67033.0,8.4086
2024-10-27 05:40:00,67034.14,67137.4,67026.81,67040.0,4.6628
2024-10-27 05:45:00,67071.5,67137.5,67021.0,67022.98,3.2511
2024-10-27 05:50:00,67022.98,67137.5,67022.0,67050.45,3.0229
2024-10-27 05:55:00,67048.61,67137.5,67042.91,67060.45,3.2192
2024-10-27 06:00:00,67067.9,67153.4,67043.0,67062.66,1.4981
2024-10-27 06:05:00,67062.66,67154.8,67040.74,67060.0,5.7115
2024-10-27 06:10:00,67068.0,67156.0,67056.78,67088.92,6.1859
2024-10-27 06:15:00,67086.44,67153.8,67007.0,67041.07,7.6231
