symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2020-12-28 06:00:00+00:00,29255.71,34812.93,28707.56,32908.02,4832.161979,148516.0,32075.346345
BTC/USD,2021-01-04 06:00:00+00:00,32907.36,41999.0,27900.0,34860.75,15370.154989,479240.0,36433.679179
BTC/USD,2021-01-11 06:00:00+00:00,34883.83,40100.0,30365.5,35349.37,12517.326286,363855.0,35213.281923
BTC/USD,2021-01-18 06:00:00+00:00,35341.8,37866.15,28951.58,33324.95,8186.516291,253287.0,33107.056668
BTC/USD,2021-01-25 06:00:00+00:00,33350.0,38673.14,29256.82,33787.13,8878.964257,332856.0,33426.006661
BTC/USD,2021-02-01 06:00:00+00:00,33787.67,41019.93,33136.11,38700.0,8086.560101,351711.0,37320.03178
BTC/USD,2021-02-08 06:00:00+00:00,38712.8,49730.0,38658.96,46773.29,10372.525734,457238.0,46185.245019
BTC/USD,2021-02-15 06:00:00+00:00,46765.0,58355.03,46727.34,55865.52,8657.776211,398149.0,52655.704385
BTC/USD,2021-02-22 06:00:00+00:00,55894.74,56640.28,43020.0,46235.25,12415.883768,426253.0,48712.434284
BTC/USD,2021-03-01 06:00:00+00:00,46235.25,52644.44,45688.43,50807.58,7370.014054,246504.0,49162.670712
BTC/USD,2021-03-08 06:00:00+00:00,50800.02,61790.24,49329.8,59765.08,6823.816471,270200.0,56414.545004
BTC/USD,2021-03-15 05:00:00+00:00,59734.18,60099.0,53223.0,57600.0,6199.357318,322442.0,57011.125737
BTC/USD,2021-03-22 05:00:00+00:00,57600.0,58427.14,50411.0,55309.43,6488.192025,300499.0,54227.678484
BTC/USD,2021-03-29 05:00:00+00:00,55294.61,60250.0,54900.7,57310.41,4744.827677,243394.0,58365.344619
BTC/USD,2021-04-05 05:00:00+00:00,57310.2,61250.0,55437.11,60051.19,5657.864519,277202.0,58259.438741
BTC/USD,2021-04-12 05:00:00+00:00,60079.24,64967.23,51722.01,57052.0,10399.667976,486184.0,59867.830505
BTC/USD,2021-04-19 05:00:00+00:00,57052.0,57600.0,47011.0,52347.01,13646.873097,589499.0,52801.789117
BTC/USD,2021-04-26 05:00:00+00:00,52364.01,58526.98,52129.54,57846.84,6667.454679,394974.0,55248.825135
BTC/USD,2021-05-03 05:00:00+00:00,57852.4,59586.81,52946.9,59240.0,9056.599582,544431.0,56943.672925
BTC/USD,2021-05-10 05:00:00+00:00,59240.0,59500.0,42200.0,43584.9,14057.874377,686641.0,50472.363885
BTC/USD,2021-05-17 05:00:00+00:00,43584.77,45836.18,30125.0,34935.48,29584.193552,1069135.0,38430.77176
BTC/USD,2021-05-24 05:00:00+00:00,34926.53,40878.61,33428.38,34487.56,19169.665818,803528.0,37094.246533
BTC/USD,2021-05-31 05:00:00+00:00,34491.04,39490.3,34221.83,36277.14,16116.83313,488040.0,36799.602276
BTC/USD,2021-06-07 05:00:00+00:00,36268.2,39844.0,31028.34,39283.89,15821.237085,576922.0,35718.084399
BTC/USD,2021-06-14 05:00:00+00:00,39280.87,41391.73,33343.97,34235.0,13928.754555,534544.0,37632.214039
BTC/USD,2021-06-21 05:00:00+00:00,34235.0,35500.0,28810.0,34361.9,22258.849538,667140.0,32562.170402
BTC/USD,2021-06-28 05:00:00+00:00,34363.04,36625.0,32676.72,34209.85,10551.773002,396953.0,34478.938032
