symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2022-06-23 05:00:00+00:00,20337.68,21361.98,20154.28,21033.2,3645.486074,123984.0,20730.222056205
BTC/USD,2022-06-24 05:00:00+00:00,21034.26,21534.33,20719.39,21218.71,2842.305253,88634.0,21115.0016267488
BTC/USD,2022-06-25 05:00:00+00:00,21218.89,21595.71,20896.85,21406.14,1903.394998,67396.0,21279.299993201
BTC/USD,2022-06-26 05:00:00+00:00,21407.32,21878.02,20910.41,21233.82,2119.787987,72859.0,21282.5732749017
BTC/USD,2022-06-27 05:00:00+00:00,21232.71,21522.61,20478.28,20747.5,3398.764417,107331.0,20832.4978360727
BTC/USD,2022-06-28 05:00:00+00:00,20747.07,21190.0,20125.0,20272.68,5382.925188,152022.0,20582.8242699851
BTC/USD,2022-06-29 05:00:00+00:00,20273.69,20420.92,19832.92,20027.02,7319.191337,201864.0,20067.7940065669
BTC/USD,2022-06-30 05:00:00+00:00,20025.82,20896.36,18612.0,19382.09,10330.986504,187492.0,19463.8079928079
BTC/USD,2022-07-01 05:00:00+00:00,19374.83,19764.83,18940.0,19170.27,7521.574449,118377.0,19343.7428550912
BTC/USD,2022-07-02 05:00:00+00:00,19170.9,19441.9,18752.98,19231.67,3459.369133,64323.0,19210.3198189685
BTC/USD,2022-07-03 05:00:00+00:00,19233.4,19625.32,18911.68,19102.36,3478.188482,101957.0,19162.3038663075
BTC/USD,2022-07-04 05:00:00+00:00,19101.41,20450.89,19057.69,20251.12,7282.259882,242199.0,19844.761944276
BTC/USD,2022-07-05 05:00:00+00:00,20252.86,20728.5,19281.37,20075.94,9527.917398,283740.0,19943.8779085726
BTC/USD,2022-07-06 05:00:00+00:00,20077.88,20650.0,19845.91,20397.52,7624.440324,262190.0,20258.0956704068
BTC/USD,2022-07-07 05:00:00+00:00,20396.43,22500.59,20233.0,21975.47,8688.592329,273865.0,21209.5156117758
BTC/USD,2022-07-08 05:00:00+00:00,21975.47,22112.26,21172.41,21540.18,8453.323465,283983.0,21670.4382297136
BTC/USD,2022-07-09 05:00:00+00:00,21541.16,21980.88,21100.0,21262.3,5221.571175,224740.0,21564.2948493347
BTC/USD,2022-07-10 05:00:00+00:00,21262.1,21406.17,20417.0,20516.03,5245.537509,189421.0,20897.3053485712
BTC/USD,2022-07-11 05:00:00+00:00,20514.05,20741.3,19769.2,19986.09,7194.311544,222000.0,20305.4940653217
BTC/USD,2022-07-12 05:00:00+00:00,19986.09,20044.29,19226.0,19460.11,7138.720321,203381.0,19647.191033833
