symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2023-12-24 06:00:00+00:00,43512.6645,43890.7,42607.9808799995,43247.684,1.970811591,137.0,43581.1435100741
BTC/USD,2023-12-25 06:00:00+00:00,43213.34,43798.627,42461.745756579,42791.7125,0.156507323,99.0,43534.8061373063
BTC/USD,2023-12-26 06:00:00+00:00,42761.857,42834.2,41638.2745,42435.15,4.140447916,185.0,42488.0495930053
BTC/USD,2023-12-27 06:00:00+00:00,42466.925,43818.374,42395.71,43251.149,4.227928789,215.0,43139.0392495298
BTC/USD,2023-12-28 06:00:00+00:00,43219.05,43219.05,34566.0,42706.025,3.949964862,154.0,42591.1218518404
BTC/USD,2023-12-29 06:00:00+00:00,42705.4,43127.37,34069.690768,42077.97,7.872202262,133.0,42595.5686641768
BTC/USD,2023-12-30 06:00:00+00:00,42105.11,42585.069,41524.1105,42206.355,1.218781871,93.0,41968.1164721638
BTC/USD,2023-12-31 06:00:00+00:00,42191.7805,42861.5035,42100.15,42388.675,1.062796043,55.0,42523.9269676044
BTC/USD,2024-01-01 06:00:00+00:00,42212.57,45553.538,42212.57,45244.4435,4.056627503,231.0,44304.6190202106
BTC/USD,2024-01-02 06:00:00+00:00,45219.15,45926.35,44644.8405,45205.215,2.519302014,190.0,45360.6235610503
BTC/USD,2024-01-03 06:00:00+00:00,45207.93,45647.490306479,39650.0,43216.6015,3.90730356,194.0,42887.9086984023
BTC/USD,2024-01-04 06:00:00+00:00,43245.398,44790.45,42150.0,43702.02,1.96273658,134.0,43744.5227686563
BTC/USD,2024-01-05 06:00:00+00:00,43680.45,45348.5,43143.3,43759.01,2.076535956,133.0,43855.0720907748
BTC/USD,2024-01-06 06:00:00+00:00,43724.116,44276.25,43459.7645,43897.923,2.055317997,76.0,44010.2499813259
BTC/USD,2024-01-07 06:00:00+00:00,43928.335,44508.9315,43220.215,43666.71,10.555542238,138.0,44184.949962905
BTC/USD,2024-01-08 06:00:00+00:00,43661.5,47302.853,43500.0,46747.75,12.439443123,292.0,46481.2846901493
BTC/USD,2024-01-09 06:00:00+00:00,46755.25,47970.3,44784.7515,45995.483,16.615694499,202.0,46650.7057681531
BTC/USD,2024-01-10 06:00:00+00:00,45997.333,47718.12,36002.8153599995,46115.265,10.122434201,338.0,45907.5491328298
BTC/USD,2024-01-11 06:00:00+00:00,46084.52,49025.4705,45593.621,46213.4055,15.311071881,329.0,47266.0904930778
BTC/USD,2024-01-12 06:00:00+00:00,46219.165,46369.5425,34306.9478908185,43101.685,4.614384397,242.0,44446.6202214815
BTC/USD,2024-01-13 06:00:00+00:00,43102.256,43248.78,42501.773,42750.145,2.56274324,127.0,42966.4452809605
BTC/USD,2024-01-14 06:00:00+00:00,42759.175,43065.055,41695.2255,42720.28,0.503324517,82.0,42505.2651543164
BTC/USD,2024-01-15 06:00:00+00:00,42728.035,43325.29,42100.0,42742.748,6.757627404,139.0,42572.5775476452
BTC/USD,2024-01-16 06:00:00+00:00,42705.2225,43581.304,42053.885,42754.213,2.102010853,171.0,42931.7885234801
BTC/USD,2024-01-17 06:00:00+00:00,42755.8585,42914.5,42154.752,42730.225,1.08642952,96.0,42606.2248337314
BTC/USD,2024-01-18 06:00:00+00:00,42745.465,42874.6465,40607.95,41148.951,2.68323396,145.0,41932.4999242254
BTC/USD,2024-01-19 06:00:00+00:00,41146.08,42161.12,33014.415890818,41602.595,2.496707193,130.0,40767.3717632251
BTC/USD,2024-01-20 06:00:00+00:00,41616.795,41845.85,41435.595,41607.8915,0.314706923,55.0,41618.516486143
